seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090700,250,250,0.624983333333,1.37496333333,0.0467176139167,,0.168,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090701,250,250,0.556129166667,1.22348416667,0.0569351534322,,0.252,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090702,250,250,0.527072916667,1.15956041667,0.0581141165057,,0.356,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090703,250,250,0.539535416667,1.18697791667,0.0612296027956,,0.252,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090704,250,250,0.537695833333,1.18293083333,0.0561189235059,,0.232,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090705,250,250,0.540222916667,1.18849041667,0.0578704884796,,0.292,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090706,250,250,0.514770833333,1.13249583333,0.0604037267237,,0.34,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090707,250,250,0.569525,1.252955,0.0527633684569,,0.232,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090708,250,250,0.57204375,1.25849625,0.0545617048486,,0.212,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090709,250,250,0.533379166667,1.17343416667,0.056430265595,,0.236,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090710,250,250,0.51918125,1.14219875,0.0619675882424,,0.3,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090711,250,250,0.49548125,1.09005875,0.0569744958247,,0.208,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090712,250,250,0.518147916667,1.13992541667,0.0589903218979,,0.272,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090713,250,250,0.5107125,1.1235675,0.0610309349365,,0.288,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090714,250,250,0.509677083333,1.12128958333,0.0591743300318,,0.32,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090715,250,250,0.52111875,1.14646125,0.0604231204857,,0.368,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
2026090700,500,250,0.7529375,1.6564625,0.0386492027829,,0.086,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250
