seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090900,0.289333333333,1569,1432,1462,1537,0.524859505208,0.999255677083,0.0922711610262,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090900,40,4000,0.522083333333,0.998161458333,0.0933509016424,
2026090901,0.294166666667,1525,1415,1523,1537,0.51574453125,0.9862740625,0.095995189653,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090901,40,4000,0.518763020833,0.998036458333,0.0963328022083,
2026090902,0.231,1501,1483,1508,1508,0.537734114583,1.02718848958,0.0892955064002,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090902,40,4000,0.538307291667,1.02688541667,0.0891650338981,
2026090903,0.306333333333,1485,1494,1506,1515,0.5056875,0.966895,0.0984124766159,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090903,40,4000,0.529036458333,1.00514583333,0.0904691960966,
2026090904,0.279,1529,1512,1498,1461,0.558985807292,1.06498869792,0.0860642991055,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090904,40,4000,0.563333333333,1.07614583333,0.084110467281,
2026090905,0.2655,1527,1471,1520,1482,0.519607682292,0.991733541667,0.0950230431562,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090905,40,4000,0.524973958333,0.999927083333,0.093829028233,
2026090906,0.285,1557,1458,1465,1520,0.515559635417,0.985465885417,0.0964569851288,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090906,40,4000,0.535963541667,1.02307291667,0.0923828851499,
2026090907,0.299833333333,1463,1542,1556,1439,0.517448697917,0.986469166667,0.095902462582,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090907,40,4000,0.5140625,0.979453125,0.0958938722888,
2026090908,0.203166666667,1482,1480,1464,1574,0.506415885417,0.967360416667,0.0933758985504,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090908,40,4000,0.4984765625,0.9543125,0.0962327389409,
2026090909,0.294333333333,1530,1543,1489,1438,0.507775911458,0.971700520833,0.0981210306789,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090909,40,4000,0.497604166667,0.957244791667,0.101377879658,
2026090910,0.0453333333333,1491,1462,1538,1509,0.85625,1.589375,0.029156972069,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090910,40,4000,0.85625,1.589375,0.029156972069,
2026090911,0.0225,1502,1463,1558,1477,0.840625,1.55875,0.0191100525516,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090911,40,4000,0.840625,1.55875,0.0191100525516,
2026090912,0.284,1533,1481,1496,1490,0.519368098958,0.991381458333,0.0963360663459,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090912,40,4000,0.536145833333,1.01773958333,0.0931457383154,
2026090913,0.3,1523,1546,1488,1443,0.515741796875,0.98306890625,0.0955390006596,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090913,40,4000,0.516536458333,0.988020833333,0.0968792914484,
2026090914,0.221,1467,1507,1563,1463,0.581436458333,1.12817255208,0.082131504304,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090914,40,4000,0.5908984375,1.146984375,0.0804371271499,
2026090915,0.271333333333,1543,1440,1509,1508,0.519416666667,0.998578854167,0.0966505278092,,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_MI_2026090915,40,4000,0.514388020833,0.990598958333,0.0975474191439,
