seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090900,250,250,0.484685416667,0.929656666667,0.102028999253,,0.332,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090901,250,250,0.520454166667,0.994709166667,0.0951462950139,,0.316,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090902,250,250,0.503041666667,0.955311666667,0.095223807499,,0.276,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090903,250,250,0.532660416667,1.01856166667,0.0947670997874,,0.364,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090904,250,250,0.485164583333,0.935423333333,0.106089258761,,0.34,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090905,250,250,0.512810416667,0.977826666667,0.0959643680075,,0.248,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090906,250,250,0.500422916667,0.956491666667,0.10055136473,,0.316,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090907,250,250,0.553672916667,1.05215916667,0.086569990545,,0.26,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090908,250,250,0.502345833333,0.954125833333,0.0991027567915,,0.404,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090909,250,250,0.499670833333,0.961015833333,0.0998785841396,,0.312,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090910,250,250,0.544675,1.05094,0.0920335267661,,0.272,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090911,250,250,0.480135416667,0.917331666667,0.104480294039,,0.324,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090912,250,250,0.50101875,0.95533,0.0950106934226,,0.336,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090913,250,250,0.495729166667,0.944379166667,0.0994742670282,,0.392,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090914,250,250,0.525458333333,1.00030833333,0.092609756207,,0.24,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090915,250,250,0.5540875,1.0530175,0.0855907682049,,0.196,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090900,500,250,0.4999625,0.9631575,0.0986031333315,,0.31,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090901,500,250,0.547645833333,1.06198583333,0.0892920380105,,0.224,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090902,500,250,0.485935416667,0.938249166667,0.10770685357,,0.314,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090903,500,250,0.513639583333,0.984783333333,0.0963343561164,,0.318,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090904,500,250,0.475483333333,0.905128333333,0.106433989614,,0.362,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090905,500,250,0.513291666667,0.977964166667,0.0951113594887,,0.264,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090906,500,250,0.516558333333,0.985920833333,0.096350295909,,0.322,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090907,500,250,0.545441666667,1.03366416667,0.0890888445381,,0.294,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090908,500,250,0.50345625,0.9527575,0.0952539513692,,0.362,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090909,500,250,0.785416666667,1.49854166667,0.0329048809307,,0.156,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090910,500,250,0.556960416667,1.05674916667,0.0857655484879,,0.202,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090911,500,250,0.572308333333,1.09378333333,0.0856490203769,,0.268,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090912,500,250,0.4954125,0.949345,0.100638320469,,0.3,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090913,500,250,0.500866666667,0.963964166667,0.100356428577,,0.342,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090914,500,250,0.49303125,0.933485,0.100213496758,,0.268,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090915,500,250,0.500033333333,0.952068333333,0.0991713415444,,0.268,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090900,750,250,0.517525,0.9864125,0.0935364648023,,0.286666666667,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090901,750,250,0.509641666667,0.974924166667,0.0994965128658,,0.262666666667,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090902,750,250,0.508220833333,0.965535833333,0.0957239729022,,0.333333333333,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090903,750,250,0.487735416667,0.932679166667,0.0995701109663,,0.312,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090904,750,250,0.498558333333,0.947893333333,0.0989496211124,,0.368,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
2026090905,750,250,0.477089583333,0.914213333333,0.105669083204,,0.265333333333,resolution25,linear,MI,6000,2000,100,20,25,0,14,1,random,mean,250
