seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100800,0.072,1487,1506,1493,1514,0.413843359375,-0.0899266927083,0.224921847766,0.3887,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100800,40,4000,0.416432291667,-0.0862239583333,0.223605150051,0.39625
2026100801,0.0143333333333,1516,1491,1442,1551,0.549889322917,0.221975260417,0.113386922566,0.9262375,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100801,40,4000,0.550013020833,0.2208203125,0.114000226581,0.925
2026100802,0.0356666666667,1480,1498,1519,1503,0.479302213542,0.170395703125,0.153584412099,0.7796375,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100802,40,4000,0.480130208333,0.168828125,0.152981022676,0.77875
2026100803,0.00883333333333,1566,1428,1462,1544,0.499956380208,0.333376953125,0.0913725895729,1,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100803,40,4000,0.499934895833,0.3333984375,0.0913577867173,1
2026100804,0.0218333333333,1471,1566,1498,1465,0.634516145833,0.1204734375,0.117274105519,0.9059875,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100804,40,4000,0.635182291667,0.120026041667,0.116913908211,0.90625
2026100805,0.0705,1513,1492,1468,1527,0.420331770833,-0.0260088541667,0.215371839271,0.4731875,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100805,40,4000,0.4218359375,-0.0312109375,0.217623572174,0.46875
2026100806,0.0245,1421,1516,1498,1565,0.525089713542,0.255556119792,0.112523678556,0.936775,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100806,40,4000,0.526822916667,0.259635416667,0.111129820089,0.94375
2026100807,0.0143333333333,1502,1531,1508,1459,0.638871744792,0.129659505208,0.0645971551997,0.9222375,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100807,40,4000,0.6390234375,0.1297265625,0.0644940532937,0.9225
2026100808,0.0413333333333,1502,1474,1474,1550,0.557435807292,0.226324609375,0.108183107744,0.9405125,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100808,40,4000,0.556510416667,0.226822916667,0.108597485554,0.94
2026100809,0.00683333333333,1523,1520,1464,1493,0.529667057292,0.192197526042,0.123004697771,0.8662375,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100809,40,4000,0.530364583333,0.194635416667,0.122055018605,0.87
2026100810,0.0295,1464,1480,1465,1591,0.37840234375,-0.13590234375,0.236080149482,0.291,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100810,40,4000,0.3814453125,-0.1220703125,0.228813522102,0.31125
2026100811,0.00216666666667,1502,1516,1460,1522,0.522762760417,0.175195572917,0.155252048472,0.83755,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100811,40,4000,0.523125,0.176875,0.154476057106,0.84
2026100812,0.0413333333333,1528,1544,1445,1483,0.496256510417,0.13869140625,0.144102818442,0.7619375,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100812,40,4000,0.495677083333,0.138697916667,0.144028158582,0.76125
2026100813,0.0481666666667,1526,1433,1513,1528,0.538876432292,0.215269401042,0.12467288546,0.904975,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100813,40,4000,0.538971354167,0.219361979167,0.123451327715,0.91
2026100814,0.0293333333333,1490,1442,1556,1512,0.265813020833,-0.1587296875,0.260325473726,0.1285,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100814,40,4000,0.257864583333,-0.164114583333,0.262248653268,0.1125
2026100815,0.0186666666667,1515,1521,1476,1488,0.534375,0.173958333333,0.147186229228,0.85,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250,resolution25_threshold_AI_2026100815,40,4000,0.534375,0.173958333333,0.147186229228,0.85
