seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100800,250,250,0.455472916667,-0.0609729166667,0.235771126776,0.4734,0.156,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100801,250,250,0.45864375,-0.15464375,0.235884966284,0.3648,0.176,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100802,250,250,0.481625,-0.0429583333333,0.208481980808,0.5264,0.12,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100803,250,250,0.423602083333,-0.136602083333,0.255013325088,0.3444,0.136,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100804,250,250,0.485045833333,-0.0530458333333,0.217716295673,0.5184,0.172,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100805,250,250,0.376010416667,-0.209677083333,0.299973702585,0.1996,0.088,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100806,250,250,0.468764583333,-0.0802645833333,0.232803849502,0.4662,0.212,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100807,250,250,0.4164625,-0.1224625,0.245043623536,0.3528,0.072,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100808,250,250,0.481320833333,0.0353458333333,0.18855616473,0.62,0.132,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100809,250,250,0.513083333333,0.121916666667,0.179788329521,0.762,0.076,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100810,250,250,0.501366666667,0.2118,0.112921872175,0.8558,0.06,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100811,250,250,0.517364583333,0.12996875,0.167525247179,0.7768,0.032,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100812,250,250,0.405027083333,-0.107360416667,0.24425911507,0.3572,0.124,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100813,250,250,0.468291666667,-0.0517916666667,0.21575770589,0.4998,0.156,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100814,250,250,0.519495833333,0.227170833333,0.132194865698,0.896,0.052,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100815,250,250,0.5188625,-0.0280291666667,0.212681001016,0.589,0.228,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100800,500,250,0.499608333333,-0.0421083333333,0.214919046991,0.549,0.152,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100801,500,250,0.4585125,-0.0188458333333,0.214883479869,0.5276,0.16,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100802,500,250,0.446333333333,-0.071,0.207611189833,0.4504,0.076,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100803,500,250,0.3171875,-0.3171875,0.314098011364,0,0.068,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100804,500,250,0.417277083333,-0.147277083333,0.268422870672,0.324,0.16,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100805,500,250,0.411427083333,-0.158927083333,0.269085780072,0.303,0.098,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100806,500,250,0.43463125,-0.12313125,0.243138323349,0.3738,0.214,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100807,500,250,0.418422916667,-0.351089583333,0.304483648612,0.0808,0.044,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100808,500,250,0.52509375,0.02890625,0.192054666668,0.6648,0.146,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100809,500,250,0.519947916667,0.11521875,0.160886836319,0.7622,0.07,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100810,500,250,0.5125,0.320833333333,0.0668254421826,1,0.03,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100811,500,250,0.529941666667,0.176058333333,0.150720636425,0.8472,0.018,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100812,500,250,0.4699625,-0.0762958333333,0.23613135021,0.4724,0.184,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100813,500,250,0.491260416667,-0.0127604166667,0.19163728458,0.5742,0.138,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100814,500,250,0.517020833333,0.274645833333,0.123052291991,0.95,0.028,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100815,500,250,0.474529166667,-0.0766958333333,0.231433728215,0.4774,0.216,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100800,750,250,0.465129166667,-0.119129166667,0.249265470072,0.4152,0.165333333333,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100801,750,250,0.534375,0.215625,0.126350451173,0.9,0.106666666667,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100802,750,250,0.2498625,-0.183529166667,0.289539814314,0.0796,0.052,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100803,750,250,0.415291666667,-0.124791666667,0.233240415192,0.3486,0.0573333333333,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100804,750,250,0.373575,-0.255241666667,0.252188034986,0.142,0.133333333333,resolution25,threshold,AI,6000,2000,100,20,25,18,94,1,random,mean,250
