seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100900,250,250,0.470970833333,-0.0393041666667,0.212606275379,0.518,0.152,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100901,250,250,0.602533333333,0.1648,0.145002785774,0.9208,0.024,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100902,250,250,0.4102625,-0.0939291666667,0.253491141442,0.3796,0.18,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100903,250,250,0.4630625,-0.0710625,0.227186237664,0.4704,0.18,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100904,250,250,0.563766666667,0.0537333333333,0.154267530191,0.741,0.044,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100905,250,250,0.453760416667,-0.0374270833333,0.229381190133,0.4996,0.22,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100906,250,250,0.51093125,0.0312354166667,0.19826775136,0.6506,0.204,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100907,250,250,0.465977083333,-0.00947708333333,0.218888483115,0.5478,0.224,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100908,250,250,0.466433333333,-0.0596,0.228177208355,0.4882,0.252,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100909,250,250,0.488389583333,-0.0487229166667,0.210965475202,0.5276,0.184,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100910,250,250,0.49745625,-0.00045625,0.191283879708,0.5964,0.064,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100911,250,250,0.434616666667,-0.05945,0.227332693885,0.4502,0.116,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100912,250,250,0.449239583333,-0.0872395833333,0.233737131413,0.4344,0.124,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100913,250,250,0.446483333333,0.25685,0.185994957034,0.844,0.06,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100914,250,250,0.488164583333,0.0320020833333,0.198065379298,0.6242,0.096,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100915,250,250,0.548416666667,0.0935833333333,0.15491032484,0.7704,0.12,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100900,500,250,0.435720833333,-0.1588875,0.241969999936,0.3322,0.134,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100901,500,250,0.6109375,0.180729166667,0.137415120101,0.95,0.012,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100902,500,250,0.429845833333,-0.0106791666667,0.239598224071,0.503,0.106,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100903,500,250,0.484145833333,-0.00147916666667,0.20867833989,0.5792,0.16,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100904,500,250,0.424391666667,-0.0268916666667,0.22939239503,0.477,0.04,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100905,500,250,0.455808333333,-0.0526416666667,0.222127037916,0.4838,0.164,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100906,500,250,0.485885416667,-0.0258854166667,0.224313108464,0.552,0.172,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100907,500,250,0.48214375,-0.00314375,0.19832037014,0.5748,0.162,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100908,500,250,0.486079166667,-0.0357458333333,0.220801408593,0.5404,0.226,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100909,500,250,0.486291666667,-0.0404583333333,0.216625899349,0.535,0.178,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100910,500,250,0.51035,-0.00301666666667,0.195137485671,0.6088,0.096,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100911,500,250,0.444689583333,-0.08735625,0.230123330785,0.4288,0.144,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100912,500,250,0.47366875,0.0869979166667,0.189577355545,0.6728,0.116,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100913,500,250,0.57584375,0.109989583333,0.142643771276,0.823,0.032,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100914,500,250,0.4824375,0.0390625,0.210735430877,0.6258,0.096,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100915,500,250,0.594304166667,0.239029166667,0.0984206782957,1,0.064,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100900,750,250,0.445397916667,-0.276564583333,0.232952602709,0.2026,0.0906666666667,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100901,750,250,0.448466666667,-0.0633,0.224980012995,0.4622,0.064,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100902,750,250,0.480729166667,0.227604166667,0.173039804242,0.85,0.0706666666667,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100903,750,250,0.558295833333,0.138370833333,0.14120685968,0.836,0.124,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100904,750,250,0.513929166667,0.00757083333333,0.196783896012,0.6258,0.0786666666667,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100905,750,250,0.452252083333,-0.07491875,0.234447811211,0.4528,0.14,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100906,750,250,0.510416666667,0.322916666667,0.146416776516,1,0.114666666667,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100907,750,250,0.5945875,0.1784125,0.124225619172,0.9276,0.116,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100908,750,250,0.527852083333,0.06198125,0.186328801444,0.7078,0.204,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100909,750,250,0.424970833333,-0.105304166667,0.248610842388,0.3836,0.166666666667,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100910,750,250,0.512814583333,0.0273520833333,0.199853188679,0.6482,0.104,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100911,750,250,0.5009875,0.0851791666667,0.187541220294,0.7034,0.121333333333,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100912,750,250,0.4640625,0.1609375,0.174754606278,0.75,0.0773333333333,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100913,750,250,0.613541666667,0.136458333333,0.124684735626,0.9,0.0213333333333,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100914,750,250,0.384579166667,-0.0579125,0.245174408175,0.392,0.1,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100915,750,250,0.571354166667,0.261979166667,0.105340508425,1,0.0426666666667,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100900,1000,250,0.53376875,0.16623125,0.158751438916,0.84,0.073,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100901,1000,250,0.291925,-0.274925,0.268165108638,0.0204,0.049,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100902,1000,250,0.480729166667,0.227604166667,0.173039804242,0.85,0.053,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
2026100903,1000,250,0.59830625,0.165027083333,0.106143795414,0.916,0.097,resolution25,threshold,MI,6000,2000,100,20,25,18,94,1,random,mean,250
