"round","value","source","game","treatment","metric"
1,0.505013020833331,"Simulation: retained episodes","linear","FE","group_relative_contribution"
2,0.58284505208334,"Simulation: retained episodes","linear","FE","group_relative_contribution"
3,0.623933919270842,"Simulation: retained episodes","linear","FE","group_relative_contribution"
4,0.643505859375012,"Simulation: retained episodes","linear","FE","group_relative_contribution"
5,0.659179687499999,"Simulation: retained episodes","linear","FE","group_relative_contribution"
6,0.671134440104155,"Simulation: retained episodes","linear","FE","group_relative_contribution"
7,0.671679687499996,"Simulation: retained episodes","linear","FE","group_relative_contribution"
8,0.673103841145835,"Simulation: retained episodes","linear","FE","group_relative_contribution"
9,0.674560546874987,"Simulation: retained episodes","linear","FE","group_relative_contribution"
10,0.68347167968749,"Simulation: retained episodes","linear","FE","group_relative_contribution"
11,0.67736002604165,"Simulation: retained episodes","linear","FE","group_relative_contribution"
12,0.677026367187482,"Simulation: retained episodes","linear","FE","group_relative_contribution"
13,0.680721028645822,"Simulation: retained episodes","linear","FE","group_relative_contribution"
14,0.678157552083322,"Simulation: retained episodes","linear","FE","group_relative_contribution"
15,0.68122558593747,"Simulation: retained episodes","linear","FE","group_relative_contribution"
16,0.681738281249996,"Simulation: retained episodes","linear","FE","group_relative_contribution"
17,0.676944986979162,"Simulation: retained episodes","linear","FE","group_relative_contribution"
18,0.678434244791645,"Simulation: retained episodes","linear","FE","group_relative_contribution"
19,0.683919270833325,"Simulation: retained episodes","linear","FE","group_relative_contribution"
20,0.679410807291652,"Simulation: retained episodes","linear","FE","group_relative_contribution"
1,0.66750000000004,"Experiment","linear","FE","group_relative_contribution"
2,0.68666666666664,"Experiment","linear","FE","group_relative_contribution"
3,0.6802083333333,"Experiment","linear","FE","group_relative_contribution"
4,0.66645833333334,"Experiment","linear","FE","group_relative_contribution"
5,0.657500000000014,"Experiment","linear","FE","group_relative_contribution"
6,0.647708333333346,"Experiment","linear","FE","group_relative_contribution"
7,0.658333333333266,"Experiment","linear","FE","group_relative_contribution"
8,0.643749999999932,"Experiment","linear","FE","group_relative_contribution"
9,0.647916666666654,"Experiment","linear","FE","group_relative_contribution"
10,0.66125000000002,"Experiment","linear","FE","group_relative_contribution"
11,0.65791666666664,"Experiment","linear","FE","group_relative_contribution"
12,0.63416666666668,"Experiment","linear","FE","group_relative_contribution"
13,0.64104166666664,"Experiment","linear","FE","group_relative_contribution"
14,0.65229166666666,"Experiment","linear","FE","group_relative_contribution"
15,0.639791666666694,"Experiment","linear","FE","group_relative_contribution"
16,0.613541666666686,"Experiment","linear","FE","group_relative_contribution"
17,0.624791666666666,"Experiment","linear","FE","group_relative_contribution"
18,0.59520833333333,"Experiment","linear","FE","group_relative_contribution"
19,0.526874999999998,"Experiment","linear","FE","group_relative_contribution"
20,0.45124999999996,"Experiment","linear","FE","group_relative_contribution"
1,0.548193359374998,"Simulation: retained episodes","linear","AI","group_relative_contribution"
2,0.610807291666679,"Simulation: retained episodes","linear","AI","group_relative_contribution"
3,0.670532226562481,"Simulation: retained episodes","linear","AI","group_relative_contribution"
