experiment,game,treatment,n_seeds,steps,status,seconds,all_output_hashes_verified,model_source_hashes_verified
baseline,linear,AI,32,6000,complete,43.578303200003575,True,True
baseline,linear,FE,32,6000,complete,45.33339629999682,True,True
baseline,linear,MI,32,6000,complete,48.69368910000048,True,True
baseline,threshold,AI,32,6000,complete,57.134496800004854,True,True
baseline,threshold,FE,32,6000,complete,82.34075409999787,True,True
baseline,threshold,MI,32,6000,complete,61.52789369999664,True,True
initial_full,linear,AI,16,6000,complete,47.69754500000272,True,True
initial_full,linear,FE,16,6000,complete,42.19313200000033,True,True
initial_full,linear,MI,16,6000,complete,42.49136490000092,True,True
initial_full,threshold,AI,16,6000,complete,44.88587920000282,True,True
initial_full,threshold,FE,16,6000,complete,45.031594200001564,True,True
initial_full,threshold,MI,16,6000,complete,43.424218099993595,True,True
initial_zero,linear,AI,16,6000,complete,40.62086450000061,True,True
initial_zero,linear,FE,16,6000,complete,47.31524409999838,True,True
initial_zero,linear,MI,16,6000,complete,39.07294489999913,True,True
initial_zero,threshold,AI,16,6000,complete,38.84447809999983,True,True
initial_zero,threshold,FE,16,6000,complete,37.75796970000374,True,True
initial_zero,threshold,MI,16,6000,complete,33.10921340000641,True,True
longer,linear,AI,16,12000,complete,85.78123890000279,True,True
longer,linear,FE,16,12000,complete,86.7829000999991,True,True
longer,linear,MI,16,12000,complete,83.65643680000358,True,True
longer,threshold,AI,16,12000,complete,69.70797389999643,True,True
longer,threshold,FE,16,12000,complete,75.6729250999997,True,True
longer,threshold,MI,16,12000,complete,100.38668780000444,True,True
minimum_signal,linear,AI,16,6000,complete,41.493809699997655,True,True
minimum_signal,linear,FE,16,6000,complete,45.90157609999733,True,True
minimum_signal,linear,MI,16,6000,complete,43.69894270000077,True,True
minimum_signal,threshold,AI,16,6000,complete,46.34277620000648,True,True
minimum_signal,threshold,FE,16,6000,complete,50.53095939999912,True,True
minimum_signal,threshold,MI,16,6000,complete,41.60775979999744,True,True
no_fairness,linear,AI,16,6000,complete,34.756183199999214,True,True
no_fairness,linear,FE,16,6000,complete,41.11820720000105,True,True
no_fairness,linear,MI,16,6000,complete,33.438854300002276,True,True
no_fairness,threshold,AI,16,6000,complete,40.01595349999843,True,True
no_fairness,threshold,FE,16,6000,complete,65.99839939999947,True,True
no_fairness,threshold,MI,16,6000,complete,41.23777269999846,True,True
resolution25,linear,AI,16,6000,complete,40.651535500001046,True,True
resolution25,linear,FE,16,6000,complete,47.117126699995424,True,True
resolution25,linear,MI,16,6000,complete,39.107780999998795,True,True
resolution25,threshold,AI,16,6000,complete,39.63895000000048,True,True
resolution25,threshold,FE,16,6000,complete,38.39478450000024,True,True
resolution25,threshold,MI,16,6000,complete,33.12006719999772,True,True
