"experiment","game","treatment","metric","mean_difference","paired_mc_se","n_seeds","n_matched","join_match_rate","join_row_inflation"
"resolution25","linear","FE","group_relative_contribution",0.00939490559893751,0.032712111855564,16,16,1,0
"resolution25","linear","FE","surplus",0.02066879231875,0.0719666460819735,16,16,1,0
"resolution25","linear","FE","gini",0.0018038333295625,0.00389414137147954,16,16,1,0
"resolution25","linear","AI","group_relative_contribution",-0.0529646240233125,0.0273917387756048,16,16,1,0
"resolution25","linear","AI","surplus",-0.129385595701875,0.0711953415247121,16,16,1,0
"resolution25","linear","AI","gini",0.0106400810418875,0.00562472976163713,16,16,1,0
"resolution25","linear","MI","group_relative_contribution",0.00780965169275,0.0237191634522821,16,16,1,0
"resolution25","linear","MI","surplus",0.00516814778631249,0.0420143163693812,16,16,1,0
"resolution25","linear","MI","gini",-0.000889311139568752,0.00506839237140995,16,16,1,0
"resolution25","threshold","FE","group_relative_contribution",-0.043892114257875,0.0278323224211658,16,16,1,0
"resolution25","threshold","FE","surplus",-0.0371319742838562,0.0337944016708952,16,16,1,0
"resolution25","threshold","FE","gini",0.03016968207567,0.00531320920690891,16,16,1,0
"resolution25","threshold","FE","success",-0.09722890625,0.0472527405884926,16,16,1,0
"resolution25","threshold","AI","group_relative_contribution",0.020531998698,0.041373809096377,16,16,1,0
"resolution25","threshold","AI","surplus",-0.0146374674477875,0.0628933377700904,16,16,1,0
"resolution25","threshold","AI","gini",0.0111860808271063,0.021459515883022,16,16,1,0
"resolution25","threshold","AI","success",0.00707343749999999,0.120513231448934,16,16,1,0
"resolution25","threshold","MI","group_relative_contribution",0.00225724283862499,0.0231543163302468,16,16,1,0
"resolution25","threshold","MI","surplus",-0.0992123209635831,0.0348131194157485,16,16,1,0
"resolution25","threshold","MI","gini",0.0379813010728,0.0130855478168748,16,16,1,0
"resolution25","threshold","MI","success",-0.11634609375,0.0541530575698643,16,16,1,0
"minimum_signal","linear","FE","group_relative_contribution",-0.0436114583334375,0.0155328152363022,16,16,1,0
