"experiment","game","treatment","metric","simulation_mean","mc_se","mc_lower","mc_upper","n_seeds","seed_sd","seed_p10","seed_p90","snapshot_mean"
"baseline","linear","FE","group_relative_contribution",0.661860347493531,0.0149442899589669,0.631381267175371,0.692339427811691,32,0.0845376701600284,0.5927402213542,0.7760795442708,0.659168294270875
"baseline","linear","FE","surplus",1.45609276448531,0.0328774379097608,1.38903878778529,1.52314674118533,32,0.185982874352253,1.304028486979,1.7073749974,1.45017024739625
"baseline","linear","FE","gini",0.0390411398176156,0.0017823389256053,0.0354060356128079,0.0426762440224234,32,0.010082431525346,0.0219064129522,0.04771609063393,0.0394822870242
"baseline","linear","AI","group_relative_contribution",0.691249031575437,0.0130075327744881,0.664719993577427,0.717778069573448,32,0.0735817170507746,0.603323489583,0.800206354167,0.691131591796906
"baseline","linear","AI","surplus",1.74647801106687,0.0333207211620176,1.67851995221331,1.81443606992044,32,0.18849046310151,1.523016640622,2.028126026039,1.74613281250031
"baseline","linear","AI","gini",0.0453115677319062,0.00236204070147254,0.0404941539603174,0.0501289815034951,32,0.0133617199795989,0.02392870843396,0.06077358032148,0.0455009967041438
"baseline","linear","MI","group_relative_contribution",0.562607145182312,0.00763075090849064,0.547044126098344,0.578170164266281,32,0.0431660457035131,0.5224124869789,0.6240402213545,0.560713704427062
"baseline","linear","MI","surplus",1.07921883463572,0.0143769051951477,1.04989694317265,1.10854072609879,32,0.0813280572477203,1.001637473955,1.19172238542,1.07503548177062
"baseline","linear","MI","gini",0.0845355325463219,0.00181401018501934,0.0808358343820749,0.0882352307105689,32,0.0102615912237491,0.07241686629006,0.09354125886471,0.0845936956571906
"baseline","threshold","FE","group_relative_contribution",0.561080814615906,0.0157573139675953,0.528943560899906,0.593218068331907,32,0.0891368284781773,0.5015593750003,0.6599297395833,0.560956217447937
"baseline","threshold","FE","surplus",0.223646073404875,0.017381215595095,0.188196850483964,0.259095296325786,32,0.0983230033004562,0.1282753255208,0.302979947917,0.22367919921875
"baseline","threshold","FE","gini",0.0110802401839387,0.000933384380312849,0.00917659018963431,0.0129838901782432,32,0.00528001939818256,0.005244717908301,0.01685218838893,0.0110030193235341
"baseline","threshold","FE","success",0.941672265625,0.0315657889821324,0.877293414549829,1.00605111670017,32,0.178563067542155,0.91926,1,0.9415625
"baseline","threshold","AI","group_relative_contribution",0.495597505696625,0.0214182707677118,0.451914654467318,0.539280356925932,32,0.121160036009109,0.3176201041667,0.5867912760414,0.495855305989656
"baseline","threshold","AI","surplus",0.15932990315753,0.0278968001732318,0.10243400409279,0.21622580222227,32,0.157808132607186,-0.14512350260447,0.2917532161455,0.161436360677091
"baseline","threshold","AI","gini",0.131178158920388,0.00994184702178272,0.110901628237446,0.151454689603329,32,0.0562395795729748,0.08426282058836,0.2292818436877,0.130506585026328
"baseline","threshold","AI","success",0.785912890625,0.0566971562397024,0.670278278101689,0.901547503148311,32,0.320727549208694,0.19544875,1,0.78875
"baseline","threshold","MI","group_relative_contribution",0.493483211263062,0.0206345352011251,0.451398799260228,0.535567623265897,32,0.116726558138785,0.2772302343753,0.5823185026042,0.493273518880281
"baseline","threshold","MI","surplus",0.209041202799491,0.0275179107511015,0.152918053805883,0.265164351793098,32,0.155664810369521,-0.0545292838541701,0.3183956380208,0.209493408203134
"baseline","threshold","MI","gini",0.123951704007006,0.00929674834384604,0.104990860751969,0.142912547262044,32,0.0525903503753467,0.08940910118969,0.2236904769233,0.123892143544281
"baseline","threshold","MI","success",0.843029296875,0.0548333527894105,0.731195936549999,0.954862657200001,32,0.310184284740692,0.24305125,0.99461875,0.8433203125
"resolution25","linear","FE","group_relative_contribution",0.64519169108075,0.0264989075020247,0.588710606727729,0.701672775433771,16,0.105995630008099,0.5383662109375,0.79609375,0.647260742187437
"resolution25","linear","FE","surplus",1.41942172037812,0.0582975965042556,1.2951633348019,1.54368010595435,16,0.233190386017022,1.184405664065,1.75140625,1.42397363281188
"resolution25","linear","FE","gini",0.0433260975181562,0.00343011039667401,0.0360149902719456,0.0506372047643669,16,0.0137204415866961,0.02150201738835,0.0571482985936,0.0428159184160125
"resolution25","linear","AI","group_relative_contribution",0.648866861979188,0.0179781481347699,0.610547346307326,0.687186377651049,16,0.0719125925390798,0.5811541015625,0.7413432942705,0.653234049479188
"resolution25","linear","AI","surplus",1.6445762858075,0.0479908631138833,1.54228618243239,1.74686638918261,16,0.191963452455533,1.464500390625,1.893614348955,1.65623600260437
"resolution25","linear","AI","gini",0.0535064356533188,0.00378786308703629,0.0454327965978126,0.0615800747088249,16,0.0151514523481452,0.0295852549212,0.067545440444,0.05249390730385
"resolution25","linear","MI","group_relative_contribution",0.565166080729188,0.0280965200757112,0.505279765782002,0.625052395676373,16,0.112386080302845,0.5070958984375,0.7110307291665,0.568590494791563
"resolution25","linear","MI","surplus",1.07479113932275,0.0498093317545759,0.968625061789823,1.18095721685568,16,0.199237327018304,0.96953046875,1.34346127604,1.08186588541637
"resolution25","linear","MI","gini",0.084990136039775,0.00605860776005885,0.0720765192828726,0.0979037527966774,16,0.0242344310402354,0.0556442381865,0.09738577924405,0.0843388378797
"resolution25","threshold","FE","group_relative_contribution",0.547173388671813,0.0152467912096579,0.514675622476742,0.579671154866883,16,0.0609871648386315,0.49938671875,0.613864453125,0.547704264322875
"resolution25","threshold","FE","surplus",0.188786246744769,0.0349108273387296,0.114375579678518,0.26319691381102,16,0.139643309354918,0.08648704427065,0.2934818359375,0.189405110677019
"resolution25","threshold","FE","gini",0.0396314814591375,0.00496308805276689,0.0290529096844944,0.0502100532337806,16,0.0198523522110676,0.01713761196315,0.0639482829219,0.0393787206155062
"resolution25","threshold","FE","success",0.8831515625,0.0442970032681123,0.788734735014522,0.977568389985478,16,0.177188013072449,0.79016875,0.989625,0.88453125
"resolution25","threshold","AI","group_relative_contribution",0.499086848958438,0.0234269394006435,0.44915350961908,0.549020188297796,16,0.093707757602574,0.3961228515625,0.5959759765625,0.499231770833312
"resolution25","threshold","AI","surplus",0.121406640625062,0.0363645245029161,0.0438974913988246,0.1989157898513,16,0.145458098011665,-0.11291451822915,0.2409403645835,0.122447916666794
"resolution25","threshold","AI","gini",0.149489997554662,0.0140257032432279,0.119594918750728,0.179385076358597,16,0.0561028129729117,0.09977784865845,0.230500998624,0.148935124497063
"resolution25","threshold","AI","success",0.7445921875,0.0670382325702231,0.601703577153067,0.887480797846933,16,0.268152930280892,0.33985,0.93864375,0.746015625
